reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7120abb3-34ca-4476-834b-42380381086c,Christopher Grouzard,https://play-lh.googleusercontent.com/a/ACg8ocK606Jc5ajpRrgpgLTAewrSynNuIQFN-TXWcpC2t-mq1xrVzA=mo,"Awesome app , You have questions it has answers ,it will even pray for you .",5,1,1.7,2023-09-15 13:10:13,,,1.7
7fd03e65-a7b3-4666-b3d2-1bdc47867212,MaTT WiZaRD,https://play-lh.googleusercontent.com/a-/ALV-UjXR7RTpeBPSQ4q-0LNFGLda6mTlyW_GFfKE7PcwnawdwF3-oJc,Outstanding bible guide,5,0,2.3,2024-04-24 15:39:45,,,2.3
9947a0ad-e611-4845-901d-a441b42577a3,Ofentse,https://play-lh.googleusercontent.com/a/ACg8ocLR9KxionP_211w5ffdcULGsenrN1V94fZy-IePA09n5v9zXg=mo,"It's cool, but it started giving me problems 2days later",3,0,1.5,2023-07-10 09:18:02,,,1.5
9595b312-8941-49c3-bc5d-d9e2ef32533d,King Sipho Maseko,https://play-lh.googleusercontent.com/a/ACg8ocIUJt16lFmEAwj7W3J2gLQVP-l2kOxXSCbSkZaBtln7ScRGLA=mo,I am asking questions in english i received answers on another which i do nt understand,5,0,1.9,2024-01-16 09:52:21,,,1.9
ff24da76-602c-4968-8b77-aa7b02b463be,Krisbel Ramirez,https://play-lh.googleusercontent.com/a/ACg8ocJmS38qa96W2RIkIb-Rr15TQPNyK41l07Xiv-P-VnFMV6Mesg=mo,It was a good experience with this app I really love it,5,0,1.1,2023-06-04 19:54:21,,,1.1
d9f1dff3-0b56-4891-b363-b37d02ae360f,Glenda Omandac Yurpo,https://play-lh.googleusercontent.com/a-/ALV-UjXuuzyiZKdpQ9zud60bxpicxgCRHrRKfuyFHreDtCILjJ66bxhtbQ,Thank you. Thank you Lord God for everything you've done to us every day of our life together with the righteous man in the name of the Father and of the Son and of the Holy Spirit. Amen,5,1,1.7,2023-09-14 06:17:25,,,1.7
bd5685df-28d9-43be-a44a-f945ec9a380d,Yesid Calderón,https://play-lh.googleusercontent.com/a-/ALV-UjU7mT4W_IM7F1063Mq9eVQDQeJ2SKDeC9UO7zijlkLIZ6dwxtMa,Amazing spiritual experience!,5,0,1.5,2023-07-22 14:29:28,,,1.5
a9090f97-31b8-4fb5-b094-041798923aa1,Germaine Gerges,https://play-lh.googleusercontent.com/a/ACg8ocK-HZnA_YLng0cZ5fefYe8CJhf-DRGWdbOYs6cHuCdBFyudaw=mo,Great app. Thanks,5,0,,2023-06-10 12:30:04,,,
14f1805b-891f-42da-b1a3-9d46ef74caa1,Awonusi Tosin,https://play-lh.googleusercontent.com/a/ACg8ocJPOoy0WbeGHSYD_2MPuWX3AWGIEOczLSvQCZfFPc4F6fdUwQ=mo,It's simply amazing ☺️,5,0,1.5,2023-06-23 01:13:54,,,1.5
08b8d2c0-9f54-4865-86bb-de3b4a8a2b47,kelvin chijaka,https://play-lh.googleusercontent.com/a/ACg8ocK8RfcIE3hXOoZ3MAlA8A76JSbBfyPZjD2kW_mvF__cYoyxIg=mo,"It's good, but can be better.",5,0,1.5,2023-07-14 02:28:43,,,1.5
52c1fe26-cbee-4c8f-a233-da8cd0b81d32,Vicky Flores,https://play-lh.googleusercontent.com/a-/ALV-UjXFZd2Ar2n5eWYXpg3LQ_KFhPT8CevZ5fqs6CbQHCfSR3MQc8qs6A,Yup very helpful.,5,0,1.5,2023-06-25 08:12:50,,,1.5
02b4c3d2-43f1-4f13-b1e0-3a8076cbecbf,Benjamin Mvungi,https://play-lh.googleusercontent.com/a/ACg8ocLi3CzpCEO9B6S-aaTUwSirhF4v__1KknWgvh2lukDnSiCjPw=mo,I type it display nothing,3,0,1.0,2023-05-22 07:55:50,"Hello, check it again. Thank you!",2023-05-31 15:39:24,1.0
e1fdd580-c2b1-47fe-8a93-ce4bb8a461e4,Eona Elijah,https://play-lh.googleusercontent.com/a/ACg8ocKxdbeguCWLW3E0_jqLs5F3HaMvO0L8xtELdmGCW_2vjOsuvw=mo,"Wow, great app",5,0,1.7,2023-10-26 12:01:27,,,1.7
d21fd279-2829-4eb7-8b89-f7e3a789e684,SHIMETIE ASSEFA,https://play-lh.googleusercontent.com/a-/ALV-UjXXw1lASQGBrmG3zlNUeeZOc8_UF8KhvwQWfZOD6B7pIUp_ve2D,God bless you!!! 🙏🙏🙏🙏🙏🙏🙏,1,0,1.0,2023-06-12 03:58:38,"Gracias, 5 estreellas sería excelente! saludos!",2023-06-14 12:36:11,1.0
b3cba470-6cac-44f5-a090-e197b311569e,Bruno,https://play-lh.googleusercontent.com/a/ACg8ocJm3Lq2TCqGqaU1Rah51Rgb6ejwcNE5Gb22leSirhxW3sb6nw=mo,Es una excelente aplicación. Sería bueno también la posibilidad de ver el historial de busquedas y guardarlas para el estudio bíblico. En la última actualización la tipografía es difícil de leer. Se siente pesada y el color es estridente. Me gustaría posteriormente elegir entre un tipo de letra y color mejor.,4,1,2.3,2024-05-05 19:19:46,,,2.3
feff9ee7-73ad-49c9-a973-30223bbed22b,Jimmy Montaño Hernández (MisterMeLaO),https://play-lh.googleusercontent.com/a-/ALV-UjWsBELg7FXVkZcIFmuUyeKckgIoQqeyNxuJj_irNfw0DLPopLRRVA,"Excelente aplicación, la uso para encontrar citas bíblicas rápidamente y para aprender cosas nuevas sobre la palabra de Dios.",5,0,2.3,2024-05-18 02:54:38,,,2.3
d1aa836f-8041-4e14-b7d8-8f48865e27b0,SAMUEL O. PEREZ,https://play-lh.googleusercontent.com/a-/ALV-UjW5LVfEmvawMyJV8WKJnV33Kdc9jfGesC2qzqUPKrXFkyc76KDq,Una herramienta muy excelente y necesaria en este siglo 21.,5,0,2.3,2024-02-02 23:45:35,,,2.3
079934aa-2a02-4666-b66c-7041e2f5caf6,Zion Prince,https://play-lh.googleusercontent.com/a-/ALV-UjVvzlhxX9tlPMW6k_q9X5DcUNJ-kBwIg_J5LFn4jEKV4-zcqUR9,Great app,4,0,2.3,2024-05-29 12:27:33,,,2.3
508ec59c-03b7-4f00-b256-3679ee36f32c,Freddy Rivera,https://play-lh.googleusercontent.com/a-/ALV-UjV5jSCV8BVEW8h0sl_invXLQZa15Y-Onu3KSn9GBTDT12I7PJk,Muy buena explicación hasta ahora,4,0,2.3,2024-04-10 19:44:04,,,2.3
2c0c8969-e8aa-4e05-abf6-71d83cb7ea69,Ermen Lopez,https://play-lh.googleusercontent.com/a/ACg8ocKhzSPxHer42bsyf6c1HQ2VotlncoSZlkWDes96C0L4oTGKDg=mo,Great,4,0,2.3,2024-04-27 03:55:45,,,2.3
59c42952-f1d2-40d5-b960-6af1c86bed07,edmond amurao,https://play-lh.googleusercontent.com/a/ACg8ocIT-JCCQSFKIsMNWu74s07ywZUY51c4hXu7LEQhh4PA0NVFcw=mo,Love it. 👍👍👍,5,0,2.3,2024-02-21 10:23:50,,,2.3
e8962136-3caa-4b8e-a767-e1c39bf91f52,Dannara Marie,https://play-lh.googleusercontent.com/a-/ALV-UjUSEeGRS57HzpJT-MEZDzSC52eAk6hkSKCVxJTpFkcm_NQB5zFJ,very helpful,5,0,2.3,2024-06-23 03:02:11,,,2.3
680188ef-7657-420f-ad89-2e0c7dc726f2,Oscar Ogomez,https://play-lh.googleusercontent.com/a-/ALV-UjVi3e6TwAKnQ3F8U3vXNtjKWrf3fnwFKGsPsM7y-yljdpe4G_B3Ag,Great app,5,0,2.3,2024-04-08 10:45:43,,,2.3
a3fc3b74-7a61-4bd6-a56f-2492807082a7,Edmond Amurao,https://play-lh.googleusercontent.com/a-/ALV-UjUcTzpvKz3hpHiXae1OSauQdyh5ruRGLmMlH4cPC38YyW76rgCi,Love it 👍👍👍,5,0,2.3,2024-03-15 02:38:16,,,2.3
2d8a5547-23d5-4b0e-aa73-f6e1c5271fe0,masika clement,https://play-lh.googleusercontent.com/a-/ALV-UjWAX1n9DtsQJc-5B-su4xzKYnlKew6VGb4zGTQjFNWOi6EPFlM8,Good,5,0,2.3,2024-06-16 16:09:43,,,2.3
b7bc8908-17de-43f7-ac52-541dbed5ba84,Yesenia María Angola Silvera,https://play-lh.googleusercontent.com/a-/ALV-UjVT-zVv7Tfm5_SA6u6f-2gK7xXQKMNZfRTTbWtAIV5nLmmY3qJRBw,"Es muy buena , la recomiendo",5,0,2.3,2024-04-29 20:23:57,,,2.3
341cb024-461a-41c9-b2a1-83e3448b869a,Alicia Laya,https://play-lh.googleusercontent.com/a-/ALV-UjXYh34HNIWPG_mJrjD8OB6TqsycFyYb0QwKyCKHbqsHMEEzA1H_,Hasta ahora excelente!👍,5,0,2.3,2024-04-26 00:30:35,,,2.3
efb4ec5e-e556-44c8-9e02-3ad4dc7a4b3a,Diamontladie G,https://play-lh.googleusercontent.com/a-/ALV-UjWa3l6jBdqEDpJROvkeF6yPdDAgevt7_tV_ySB_IArjBlUvqyDJ,Es muy bueno,5,0,2.3,2024-06-17 20:25:40,,,2.3
93081661-045d-42f4-b8db-d842db2f464c,Balkan man,https://play-lh.googleusercontent.com/a-/ALV-UjVzsj_ASVe6pS7g2G8S0CijCJqcOKUtxegLIf2Ma6dDrhxGhuYe,Real,5,0,2.3,2024-02-08 13:42:58,,,2.3
6ac782d2-1dc4-4b64-a011-009cd812bb39,Prasanth K,https://play-lh.googleusercontent.com/a/ACg8ocK4p50H_6BQTcrFPDosZqSVFGvq1viy40G_RNCrGdEybOETgA=mo,❤️❤️❤️,5,0,2.3,2024-04-06 00:50:17,,,2.3
9d0d1505-6a6a-435d-bbfc-f68bc48f1ae0,Ner Moreno,https://play-lh.googleusercontent.com/a-/ALV-UjXVkYmo4Obhett6qiIql0-Kpi87sN-ZTCQoGeONMJ41jARhylUt,Hasta ahora muy bien. Recomendada.,5,0,2.2,2024-05-22 15:40:33,,,2.2
046bd72e-6229-4096-8cf0-e54b42a36438,Daniel S. Porras,https://play-lh.googleusercontent.com/a-/ALV-UjVgZSPbAS3BMLQEk4C34YgLdGJKzYH3RCgweTeIrK3pSC-dF8E,"Muy útil sobretodo con la rapidez que muestra la información solicitada. La última actualización la mejoró muchísimo. A veces da un mensaje de error, en las preguntas o conversaciones y se queda sin responder. Por eso bajé mi calificación de 5 a 4 estrellas. Esperemos la última actualización la mejore",4,0,1.8,2023-11-05 16:32:40,,,1.8
20d22c1e-a310-4b52-9627-ad7b9ba9854f,Orlando Napoles,https://play-lh.googleusercontent.com/a/ACg8ocI7oxbfVmfZHsDMYqDEOM7wU-q_FBysQnUvFd-x3D7E9Vq6qw=mo,Nindot biya unta ka nga AI pero mag wala langka.,5,0,1.8,2023-11-29 11:02:40,,,1.8
ea468f61-4ddb-46dd-bd03-b191a11be5f9,Nelson Miguel Rojas Cortez,https://play-lh.googleusercontent.com/a-/ALV-UjWY2Y8ZrHCi_owr_s-15R83Fakgqn2ELDaUsWpF6bzbaIvj1sBT,"Nah, de locos",5,0,1.8,2023-12-03 14:21:11,,,1.8
e04db1d6-e526-4c6a-ad8e-94224194157b,Mave Bracho,https://play-lh.googleusercontent.com/a/ACg8ocKlme8EQdNWJpJ1KBgfSd9pOTRmhRC3h2rnXXFWWmubJCVGEA=mo,Excelente mil gracias,5,0,1.8,2023-11-05 12:02:55,,,1.8
